ID,R&D Spend,Administration,Marketing Spend,State,Category
0,165349.2,136897.8,471784.1,New York,Industrials
1,162597.7,151377.59,443898.53,California,Technology
2,153441.51,101145.55,407934.54,Florida,Healthcare
3,144372.41,118671.85,383199.62,New York,Financials
4,142107.34,91391.77,366168.42,Florida,Industrials
5,131876.9,99814.71,362861.36,New York,Telecommunications
6,134615.46,147198.87,127716.82,California,Telecommunications
7,130298.13,145530.06,323876.68,Florida,Technology
8,120542.52,148718.95,311613.29,New York,Healthcare
9,123334.88,108679.17,304981.62,California,Healthcare
10,101913.08,,229160.95,Florida,Healthcare
11,100671.96,91790.61,249744.55,California,Technology
12,93863.75,127320.38,249839.44,Florida,Technology
13,91992.39,135495.07,252664.93,California,Industrials
14,119943.24,156547.42,256512.92,Florida,Technology
15,114523.61,122616.84,261776.23,New York,Technology
16,78013.11,121597.55,264346.06,California,Financials
17,94657.16,145077.58,282574.31,New York,Technology
18,91749.16,114175.79,294919.57,Florida,Technology
19,86419.7,153514.11,248839.44,New York,Technology
20,76253.86,113867.3,298664.47,California,Technology
21,78389.47,153773.43,299737.29,New York,Financials
22,73994.56,122782.75,303319.26,Florida,Healthcare
23,67532.53,105751.03,304768.73,Florida,Technology
24,77044.01,99281.34,140574.81,New York,Healthcare
25,64664.71,139553.16,137962.62,California,Telecommunications
26,75328.87,144135.98,134050.07,Florida,Technology
27,72107.6,127864.55,353183.81,New York,Technology
28,66051.52,182645.56,118148.2,,Technology
29,65605.48,153032.06,107138.38,New York,Financials
30,61994.48,115641.28,91131.24,Florida,Healthcare
31,61136.38,152701.92,88218.23,New York,Industrials
32,63408.86,129219.61,46085.25,California,Technology
33,55493.95,103057.49,214634.81,Florida,Technology
34,46426.07,157693.92,210797.67,California,Telecommunications
35,46014.02,85047.44,205517.64,New York,Technology
36,28663.76,127056.21,201126.82,Florida,Technology
37,44069.95,,197029.42,California,Technology
38,20229.59,65947.93,185265.1,New York,Healthcare
39,38558.51,82982.09,174999.3,California,Financials
40,28754.33,118546.05,351183.81,California,Technology
41,27892.92,84710.77,164470.71,Florida,Healthcare
42,23640.93,96189.63,148001.11,California,Healthcare
43,15505.73,127382.3,35534.17,New York,Oil & Gas
44,22177.74,154806.14,28334.72,California,Technology
45,1000.23,124153.04,1903.93,New York,Healthcare
46,1315.46,115816.21,297114.46,Florida,Financials
47,,135426.92,174779.3,California,Technology
48,542.05,51743.15,86718.23,New York,Technology
49,,116983.8,45173.06,California,Industrials
